time_s,g5_pitch,ahrs_pitch,accel_pitch,error
96.081421,-5.790000,0.000000,0.000000,5.790000
96.281412,-5.690000,-0.240039,0.000000,5.449961
96.493507,-5.810000,-0.364780,-20.811924,5.445220
96.687637,-5.920000,-1.850740,-22.564631,4.069260
96.883576,-5.900000,-3.244133,-20.673948,2.655867
97.082629,-5.880000,-2.830688,-20.379730,3.049312
97.281601,-5.940000,-3.436565,-19.246655,2.503435
97.481980,-5.930000,-2.559294,-15.832845,3.370705
97.688947,-5.780000,-1.613709,-15.416752,4.166291
97.883615,-5.610000,-2.160444,-13.035804,3.449556
98.084783,-5.600000,-1.842898,-12.775315,3.757102
98.281405,-5.750000,-3.283430,-14.640743,2.466570
98.481482,-5.890000,-2.249917,-16.480824,3.640083
98.682579,-5.980000,-2.518217,-16.258659,3.461783
98.881412,-6.100000,-2.308876,-14.819294,3.791124
99.082584,-6.130000,-2.898690,-10.540792,3.231311
99.281598,-6.000000,-3.430708,-13.025730,2.569292
99.481723,-5.900000,-4.131902,-9.809644,1.768098
99.697198,-5.860000,-4.121225,-9.286251,1.738775
99.883556,-5.860000,-3.725271,-7.056007,2.134729
100.081422,-5.810000,-2.609150,-6.998517,3.200850
100.282911,-5.770000,-3.460015,-8.875546,2.309985
100.482484,-5.880000,-4.440910,-7.694581,1.439090
100.686646,-6.020000,-3.196913,-7.699526,2.823087
100.885846,-6.000000,-3.074991,-6.915145,2.925009
101.082890,-5.800000,-3.025399,-6.918835,2.774601
101.296714,-5.910000,-4.347527,-5.357784,1.562473
101.486639,-6.070000,-4.918035,-4.989739,1.151965
101.681404,-6.210000,-4.329133,-7.391428,1.880867
101.886143,-6.290000,-4.595882,-4.955430,1.694118
102.081623,-6.240000,-3.504016,-5.262578,2.735984
102.281410,-6.220000,-4.258525,-3.612880,1.961475
102.483535,-6.170000,-3.300957,-1.341054,2.869043
102.692690,-6.250000,-2.753370,-1.342010,3.496630
102.885472,-6.470000,-2.921796,-3.970587,3.548203
103.086518,-6.600000,-2.515774,-3.969082,4.084226
103.286517,-6.570000,-1.776457,-3.680914,4.793543
103.482467,-6.540000,-1.504317,-4.218014,5.035684
103.688693,-6.550000,-2.053644,-5.565752,4.496356
103.886770,-6.540000,-2.582078,-5.565752,3.957922
104.094529,-6.480000,-1.940684,-5.565752,4.539316
104.287000,-6.500000,-1.943526,-14.878554,4.556474
104.487618,-6.460000,-1.429882,-10.627336,5.030118
104.684484,-6.410000,-2.097237,-11.338330,4.312762
104.881679,-6.420000,-1.797837,-13.190499,4.622163
105.083655,-6.500000,-1.799394,-13.832332,4.700606
105.282960,-6.530000,-0.546996,-9.854329,5.983004
105.481401,-6.500000,-1.682834,-8.686358,4.817166
105.712730,-6.450000,-0.870611,-7.698009,5.579389
105.882567,-6.460000,-2.842831,-7.691327,3.617169
106.086666,-6.520000,-3.585867,-5.859123,2.934133
106.281749,-6.620000,-3.894135,-5.798853,2.725864
106.481380,-6.670000,-3.692141,-7.643680,2.977859
106.701931,-6.630000,-3.895205,-7.645243,2.734796
106.886657,-6.660000,-4.189200,-9.152223,2.470800
107.086649,-6.620000,-3.786875,-8.275034,2.833125
107.287524,-6.480000,-3.516302,-8.052467,2.963698
107.488506,-6.450000,-2.582806,-10.124050,3.867194
107.712029,-6.460000,-2.829638,-9.863256,3.630362
107.881720,-6.410000,-3.028214,-9.286361,3.381785
108.081667,-6.450000,-3.701952,-8.830513,2.748048
108.281396,-6.530000,-3.851541,-6.165633,2.678460
108.482761,-6.640000,-3.396407,-7.080154,3.243593
108.882685,-6.500000,-2.518876,-6.934609,3.981124
109.081605,-6.450000,-1.105496,-7.891807,5.344504
109.281443,-6.540000,-1.619804,-14.819769,4.920196
109.482792,-6.640000,-1.102617,-10.389559,5.537383
109.741959,-6.680000,-2.419015,-11.965046,4.260985
109.885162,-6.650000,-2.095340,-10.806523,4.554661
110.082452,-6.650000,-2.229027,-8.470408,4.420973
110.284501,-6.660000,-3.851526,-10.240854,2.808474
110.481490,-6.670000,-3.595948,-14.717458,3.074052
110.681479,-6.690000,-4.510620,-15.859559,2.179380
110.881743,-6.720000,-4.112907,-11.307258,2.607093
111.085644,-6.820000,-4.492612,-15.638123,2.327388
111.281437,-6.950000,-4.332477,-15.162023,2.617523
111.481491,-6.920000,-4.626525,-12.843232,2.293475
111.682321,-6.940000,-3.760574,-14.593228,3.179426
111.886510,-7.020000,-3.405427,-8.113805,3.614573
112.086486,-7.030000,-3.318652,-8.779900,3.711348
112.283504,-7.080000,-2.140655,-7.864145,4.939345
112.482497,-7.130000,-1.634029,-11.281269,5.495971
112.681390,-7.200000,-2.143290,-12.931878,5.056710
112.888649,-7.190000,-2.286664,-12.077081,4.903336
113.082554,-7.200000,-2.622218,-10.351454,4.577782
113.281384,-7.270000,-3.268387,-10.017567,4.001613
113.481677,-7.220000,-3.757821,-11.894455,3.462179
113.684411,-7.100000,-4.251530,-8.420064,2.848470
113.881730,-7.050000,-3.766245,-7.359313,3.283755
114.084479,-7.030000,-3.926147,-8.721003,3.103854
114.286488,-6.930000,-3.070951,-8.296327,3.859049
114.484485,-6.790000,-2.822505,-13.124461,3.967495
114.694502,-6.680000,-2.344877,-11.295852,4.335123
114.887507,-6.580000,-2.195646,-11.400378,4.384354
115.088224,-6.520000,-1.545118,-9.086890,4.974882
115.283844,-6.480000,-1.247386,-10.316839,5.232614
115.482673,-6.390000,-1.608178,-10.674647,4.781822
115.683622,-6.360000,-1.848616,-9.070379,4.511384
115.884481,-6.350000,-2.167188,-6.808460,4.182812
116.081464,-6.370000,-2.021423,-6.354201,4.348577
116.281474,-6.400000,-2.911903,-4.763984,3.488097
116.482492,-6.390000,-3.432483,-8.257274,2.957517
116.682433,-6.370000,-3.053269,-12.469278,3.316731
116.886646,-6.340000,-3.316345,-14.642480,3.023655
117.082524,-6.350000,-2.777189,-12.465418,3.572811
117.281389,-6.360000,-2.331073,-12.332525,4.028928
117.482271,-6.350000,-3.519272,-12.773669,2.830728
117.683622,-6.330000,-3.088234,-12.042801,3.241766
117.881390,-6.270000,-3.718490,-10.180682,2.551510
118.088509,-6.200000,-4.534640,-14.181284,1.665359
118.281490,-6.110000,-4.950151,-13.653014,1.159849
118.495507,-6.030000,-5.659902,-11.109625,0.370098
118.683921,-6.030000,-5.442839,-8.613757,0.587162
118.881381,-6.010000,-3.632754,-10.606891,2.377246
119.081409,-5.970000,-3.683808,-10.191315,2.286192
119.282442,-5.950000,-4.483894,-10.710784,1.466106
119.486652,-6.020000,-4.129859,-12.584610,1.890141
119.688643,-6.050000,-6.194042,-9.346576,-0.144042
119.884500,-6.030000,-7.781850,-9.346576,-1.751850
120.084475,-6.020000,-7.807929,-9.346576,-1.787929
120.293717,-6.010000,-7.395441,-9.346576,-1.385440
120.482510,-5.910000,-7.028872,-9.346576,-1.118872
120.682296,-5.890000,-6.931442,-7.039954,-1.041442
120.885655,-5.980000,-5.700323,-7.039136,0.279677
121.081392,-6.070000,-5.971973,-12.150001,0.098027
121.282483,-6.130000,-6.184444,-10.242271,-0.054444
121.483572,-6.150000,-6.458299,-10.882726,-0.308299
121.686486,-6.210000,-6.192812,-6.737997,0.017188
121.901654,-6.150000,-5.668303,-5.234488,0.481697
122.088643,-6.110000,-5.502930,-5.233118,0.607070
122.288849,-6.110000,-5.830040,-5.233118,0.279961
122.482707,-6.100000,-6.299468,-5.233118,-0.199468
122.683529,-6.100000,-4.892328,-10.027776,1.207672
122.887250,-6.200000,-4.665519,-7.548058,1.534481
123.082427,-6.290000,-4.292256,-10.791325,1.997744
123.282496,-6.280000,-3.984204,-8.728625,2.295796
123.483559,-6.230000,-5.160978,-6.449633,1.069022
123.681385,-6.180000,-4.793347,-6.501719,1.386653
123.895514,-6.200000,-4.239409,-4.981152,1.960590
124.085484,-6.220000,-3.011151,-7.022512,3.208848
124.282497,-6.260000,-3.287955,-8.077197,2.972045
124.493507,-6.310000,-3.698553,-8.126290,2.611447
124.694733,-6.330000,-3.777539,-8.698022,2.552461
124.892415,-6.320000,-2.727903,-6.332857,3.592098
125.084799,-6.290000,-3.791142,-6.279450,2.498857
125.282589,-6.290000,-3.957105,-7.562788,2.332895
125.485640,-6.230000,-4.743042,-9.911209,1.486958
125.682328,-6.130000,-4.082968,-11.946073,2.047032
125.909323,-5.970000,-4.314858,-6.934469,1.655141
126.082499,-5.880000,-3.586303,-6.913865,2.293697
126.288511,-5.800000,-3.090346,-6.913865,2.709655
