time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
96.081421,1.620000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1.620000
96.281412,1.370000,0.494546,0.208937,nan,-34.819103,-0.258955,0.208937,0.000000,0.208937,16.299248,15.804701,2.711487,1,-0.875454
96.493507,1.190000,0.811861,0.358214,nan,-24.948160,-0.642514,-9.366646,-24.312149,-9.366646,17.982119,17.170258,1.096317,1,-0.378139
96.687637,1.090000,-0.243081,0.532005,nan,-24.430132,0.756323,0.532005,-27.233145,0.532005,17.060266,17.303349,1.923849,1,-1.333081
96.883576,1.020000,-0.870949,0.484655,nan,-40.027550,0.022184,0.484655,-25.290794,0.484655,15.128350,15.999299,4.081674,1,-1.890949
97.082629,1.080000,-1.323729,0.613136,nan,-28.763409,1.699566,-7.977099,-21.475590,-7.977099,14.370242,15.693971,5.130843,1,-2.403728
97.281601,1.140000,-1.531156,0.613426,nan,-30.790981,2.020597,0.613426,-18.357248,0.613426,13.219930,14.751085,7.289399,1,-2.671156
97.481980,1.150000,-1.228634,0.738691,nan,-8.071287,1.256265,-3.767855,-11.266365,-3.767855,16.713011,17.941645,1.038324,1,-2.378634
97.688947,1.200000,-0.682117,0.842564,nan,-18.293278,1.743075,-2.761715,-9.010698,-2.761715,14.971983,15.654099,3.405944,1,-1.882117
97.883615,1.190000,-1.079392,1.029156,nan,-15.716209,0.820030,1.029156,-5.843696,1.029156,15.602309,16.681702,3.715637,1,-2.269392
98.084783,1.250000,-0.188971,1.075296,nan,33.441875,0.110925,1.075296,-4.917999,1.075296,17.570065,17.759035,0.000000,1,-1.438971
98.281405,1.330000,-1.399852,1.216141,nan,-24.727734,1.223437,0.758795,-1.143364,0.758795,14.014736,15.414588,7.310027,1,-2.729852
98.481482,1.370000,-1.454357,1.234864,nan,-11.181093,1.780720,1.234864,-1.614314,1.234864,16.011833,17.466190,2.219357,1,-2.824357
98.682579,1.420000,-1.309988,1.101826,nan,-10.993414,2.106509,0.102237,-2.498971,0.102237,15.188702,16.498690,4.215975,1,-2.729988
98.881412,1.490000,-0.087527,1.212759,nan,-14.112157,2.006714,1.212759,-7.604794,1.212759,15.698138,15.785666,4.023623,1,-1.577527
99.082584,1.560000,0.004554,1.252940,nan,-17.024248,1.895107,1.252940,-10.634003,1.252940,13.873657,13.869103,6.726711,1,-1.555446
99.281598,1.670000,-0.518241,1.277843,nan,-11.189533,2.527252,1.277843,-7.416570,1.277843,14.645967,15.164207,5.933007,1,-2.188241
99.481723,1.810000,0.525395,1.384318,nan,-26.335340,3.063359,1.359079,-5.283781,1.359079,12.774917,12.249522,3.083910,1,-1.284605
99.697198,1.960000,0.572600,1.397563,nan,-26.478600,1.626810,1.395940,-6.006465,1.395940,13.515760,12.943160,0.974524,1,-1.387400
99.883556,2.200000,0.009936,1.624578,nan,-21.967531,1.553553,1.624578,-6.507609,1.624578,12.826623,12.816687,4.141503,1,-2.190064
100.081422,2.320000,-0.116540,1.716840,nan,2.225148,0.615507,-1.650015,-8.417138,-1.650015,14.993015,15.109555,6.160180,1,-2.436540
100.282911,2.250000,0.019419,1.747697,nan,-8.665094,1.125670,1.747697,-7.739089,1.747697,14.731446,14.712027,6.498069,1,-2.230581
100.482484,2.120000,0.219739,1.713094,nan,-30.852150,0.583000,1.713094,-2.244452,1.713094,10.028044,9.808305,3.358871,1,-1.900261
100.686646,2.060000,0.307467,1.863957,nan,2.898223,0.875566,1.863957,-2.244452,1.863957,14.554061,14.246594,7.139626,1,-1.752533
100.885846,2.000000,0.605899,1.850295,nan,1.891311,1.203964,1.850295,-2.119374,1.850295,13.594365,12.988466,9.028877,1,-1.394101
101.082890,1.830000,0.143339,1.825380,nan,-2.013649,1.912803,1.825380,-2.119374,1.825380,13.847449,13.704110,7.281024,1,-1.686661
101.296714,1.600000,0.585795,1.882065,nan,-23.664175,1.316607,1.882065,-0.639270,1.882065,10.873747,10.287951,1.242069,1,-1.014205
101.486639,1.410000,1.451198,1.815260,nan,-25.590317,0.286887,1.891530,-0.161628,1.891530,9.116286,7.665089,3.725500,1,0.041198
101.681404,1.230000,1.058402,1.766207,nan,5.045498,0.775816,1.815260,-0.311793,1.815260,13.307951,12.249549,6.932576,1,-0.171598
101.886143,1.050000,0.889769,1.700401,nan,7.191215,2.011036,1.700401,-0.773516,1.700401,13.758655,12.868885,5.269420,1,-0.160231
