time_s,g5_pitch,ahrs_pitch,accel_pitch,g5_slip_raw,raw_accel_pitch,raw_pitch_gyro_deg_sec,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,pitch_correction_target_deg,error
408.281177,-1.988242,0.000000,0.000000,nan,0.000000,7.866794,0.000000,0.000000,0,4294967295,0,0.000000,1.988242
408.478116,-1.988242,-0.820806,3.963138,nan,5.757607,-13.003435,-0.287287,19.672722,0,37,0,3.963138,1.167436
408.683517,-2.028242,-0.464544,7.408970,nan,5.412207,-4.476717,0.318191,9.158727,1,0,1,7.408970,1.563698
408.881506,-2.038242,-0.084424,3.917777,nan,6.179766,-4.415648,0.150467,13.164693,0,63,0,3.917777,1.953818
409.078796,-2.058242,-0.157658,0.989420,nan,2.148623,-12.041603,0.386486,9.101608,1,14,1,0.989420,1.900583
409.278195,-2.068242,-0.484178,6.085263,nan,4.111775,4.721756,0.299432,10.779838,1,0,1,6.085263,1.584064
409.478781,-1.988242,0.250402,10.319529,nan,10.473139,3.149237,-0.023155,5.000061,0,45,0,10.319529,2.238645
409.679502,-1.958242,0.442615,11.618256,nan,10.673197,-27.346947,0.146233,10.111654,1,0,1,11.618256,2.400856
409.887651,-2.098242,0.386408,14.016390,nan,12.154553,-31.217176,0.287529,8.335522,1,5,1,14.016390,2.484650
410.082403,-2.138242,0.704489,13.402819,nan,13.290794,22.385878,0.018620,11.074445,1,0,1,13.402819,2.842731
410.283635,-2.108242,0.813680,12.358771,nan,12.244848,16.614885,0.724580,6.602701,0,141,0,12.358771,2.921922
410.479498,-2.248242,1.276742,11.160813,nan,14.205195,-16.881298,-0.485480,9.362034,1,11,1,11.160813,3.524984
410.679752,-2.398242,1.014430,15.513117,nan,14.666887,12.584352,0.123872,17.806494,0,77,0,15.513117,3.412672
410.881480,-2.438242,1.189373,17.245850,nan,15.435947,-10.026336,0.287187,10.456407,1,0,1,17.245850,3.627614
411.079331,-2.408242,1.312912,14.903762,nan,13.043303,-12.049236,0.261356,8.161659,0,162,0,14.903762,3.721154
411.278502,-2.318242,2.457296,11.608887,nan,10.947114,-13.934732,-0.077584,14.269636,0,70,0,11.608887,4.775538
411.492612,-2.238242,2.995277,11.608887,nan,10.947114,15.271375,-0.046301,14.248262,0,294,0,11.608887,5.233519
411.689648,-2.178242,3.739271,11.932981,nan,12.794535,-11.575954,-0.131647,15.254557,0,25,0,11.932981,5.917513
411.878483,-2.148242,2.659400,11.590848,nan,12.464012,-18.186642,-0.877308,8.024122,0,68,0,11.590848,4.807642
412.110010,-2.138242,3.676497,14.757968,nan,13.713164,14.401145,-0.004319,11.047692,1,79,1,14.757968,5.814739
412.279612,-2.068242,3.903043,13.276521,nan,13.304364,-5.873664,0.062633,16.788338,0,28,0,13.276521,5.971285
412.487654,-2.028242,3.820163,9.588548,nan,12.666680,-17.026337,-0.472947,12.798623,0,118,0,9.588548,5.848405
412.679485,-2.018242,4.145594,7.310528,nan,6.315197,3.691221,-0.294733,11.635171,0,23,0,7.310528,6.163836
412.879565,-1.998242,3.833972,12.606265,nan,13.550410,6.645420,-0.141424,7.861103,0,59,0,12.606265,5.832214
413.110657,-1.948242,3.542320,10.942107,nan,8.594611,7.668321,0.356291,8.959908,1,59,1,10.942107,5.490562
413.279509,-1.888242,3.196932,4.909623,nan,8.528355,-8.614122,-0.360144,7.679597,0,36,0,4.909623,5.085174
413.494688,-1.848242,2.903990,13.630160,nan,12.956241,-1.980534,0.053393,19.852091,0,34,0,13.630160,4.752232
413.684509,-1.788242,2.503989,11.610846,nan,13.324134,-25.339314,-0.259431,9.601203,1,9,1,11.610846,4.292231
413.884781,-1.738242,2.506057,15.867417,nan,19.958992,-31.186642,-0.633623,12.281696,0,25,0,15.867417,4.244299
