time_s,g5_pitch,ahrs_pitch,accel_pitch,raw_accel_pitch,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,error
600.080674,-5.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4294967295,0,5.990000
600.282478,-6.000000,0.421324,-22.692999,-22.692999,0.125367,5.536318,0,171,0,6.421324
600.481251,-5.970000,-0.563882,-19.992769,-21.759914,-0.336351,20.078222,0,34,0,5.406118
600.680387,-5.890000,-2.008321,-18.440128,-18.455843,-0.002861,8.425018,1,16,1,3.881679
600.881528,-5.820000,-1.685368,-13.553117,-14.968594,0.609832,14.124165,0,65,0,4.134632
601.082559,-5.780000,-2.120840,-11.857162,-12.834270,-0.166430,11.139714,1,9,1,3.659160
601.280394,-5.800000,-2.056190,-11.084723,-10.497743,0.097348,10.702801,1,67,1,3.743810
601.484480,-5.880000,-1.630088,-22.624195,-24.133524,-0.251906,10.441817,1,0,1,4.249912
601.683483,-6.010000,-2.225718,-17.343119,-17.027838,0.051185,10.659831,1,0,1,3.784283
601.886515,-6.110000,-1.990737,-10.555518,-13.031061,-0.382506,4.747436,0,20,0,4.119263
602.083771,-6.180000,-1.867295,-17.721491,-15.920261,0.288214,5.338575,0,27,0,4.312705
602.280383,-6.240000,-2.528498,-15.440413,-16.109806,0.253660,8.625066,1,56,1,3.711501
602.485648,-6.230000,-3.670144,-15.440413,-16.109806,-0.115301,19.616251,0,256,0,2.559856
602.681236,-6.150000,-4.113892,-15.890750,-16.617878,0.035646,7.913824,0,80,0,2.036108
602.882573,-6.300000,-4.128981,-11.691511,-13.185041,-0.228555,10.613893,1,11,1,2.171020
603.085650,-6.590000,-5.401437,-15.395884,-13.655377,0.274829,9.578887,1,0,1,1.188563
603.280391,-6.630000,-5.128519,-11.497231,-11.725843,0.085840,7.901576,0,74,0,1.501482
603.480485,-6.650000,-5.185513,-4.752916,-4.213412,0.085840,7.348488,0,31,0,1.464488
603.680411,-6.550000,-5.092077,-4.895747,-4.349142,-0.405701,6.368276,0,128,0,1.457923
603.884650,-6.360000,-4.884561,-8.180782,-5.066278,-0.186675,14.899794,0,36,0,1.475440
604.080656,-6.120000,-5.003433,-11.712971,-9.772003,0.296627,3.162235,0,31,0,1.116567
604.295070,-5.960000,-3.668548,-10.827099,-10.307610,-0.022171,8.042926,0,84,0,2.291452
604.484772,-6.020000,-4.866459,-6.735463,-6.877491,-0.022171,10.739347,1,12,1,1.153541
604.680478,-5.980000,-5.498343,-7.868962,-7.845379,0.139657,9.794646,1,9,1,0.481658
604.886512,-5.840000,-4.896408,-3.547743,-4.309262,-0.118422,10.516859,1,10,1,0.943593
605.087505,-5.820000,-5.013434,-4.137934,-3.208023,-0.152344,11.905694,0,31,0,0.806566
605.364206,-5.790000,-4.057073,-5.723529,-3.855929,-0.037217,7.557102,0,130,0,1.732927
605.484796,-5.680000,-3.918080,-5.723529,-3.855929,-0.037217,17.082052,0,236,0,1.761920
605.680515,-5.700000,-4.229448,-2.657659,-2.853944,-0.126057,5.907230,0,54,0,1.470551
605.882562,-5.810000,-3.469493,-5.453335,-5.492412,0.012926,7.623190,0,58,0,2.340507
606.087656,-5.840000,-4.684728,-0.476085,-3.793834,-0.519615,10.544365,1,0,1,1.155272
606.326151,-5.820000,-4.532356,-9.788355,-6.219316,-0.211441,15.098129,0,170,0,1.287644
606.481493,-5.820000,-5.453127,-7.385069,-8.736816,-0.211441,8.720445,1,0,1,0.366873
606.681492,-5.880000,-5.562881,-9.158951,-10.048984,0.091470,5.533650,0,75,0,0.317120
606.881305,-5.920000,-5.222419,-9.642985,-9.383007,-0.123188,4.678545,0,99,0,0.697581
607.087507,-5.980000,-5.056162,-14.263645,-12.074563,-0.263462,4.741201,0,68,0,0.923838
607.332925,-6.000000,-5.298911,-17.569809,-15.930549,-0.233782,17.167269,0,142,0,0.701089
607.483850,-6.070000,-5.284414,-15.700409,-17.173054,-0.233782,13.359557,0,37,0,0.785586
607.687647,-6.130000,-5.196098,-15.423745,-16.897778,0.127380,15.681377,0,177,0,0.933902
607.887512,-6.150000,-5.860762,-18.250502,-17.456635,0.068504,13.409630,0,141,0,0.289238
608.081272,-6.140000,-6.223319,-17.931810,-17.514410,-0.048091,5.712573,0,99,0,-0.083319
608.280761,-6.160000,-6.041948,-18.534592,-17.203989,0.222251,3.786295,0,51,0,0.118052
608.486644,-6.180000,-6.236522,-14.063566,-14.301508,-0.037829,7.081163,0,63,0,-0.056522
608.683644,-6.160000,-5.997636,-10.705727,-10.739750,-0.005412,7.527599,0,44,0,0.162364
608.880383,-6.140000,-5.438159,-11.979013,-10.994403,0.156296,8.263317,0,95,0,0.701841
609.082558,-6.160000,-5.272765,-9.102830,-9.176177,-0.011619,13.535673,0,13,0,0.887235
609.285646,-6.180000,-5.276057,-11.469431,-11.081765,0.060457,17.403637,0,44,0,0.903943
609.480488,-6.160000,-5.436781,-12.440759,-12.061893,-0.036182,13.989264,0,59,0,0.723218
609.683479,-6.070000,-4.932591,-15.126904,-14.856925,0.041188,8.600580,1,5,1,1.137409
609.882544,-6.000000,-6.288520,-9.021481,-10.302243,-0.189660,17.021988,0,57,0,-0.288520
610.084727,-5.980000,-6.413633,-9.141204,-8.018271,0.169410,14.042559,0,21,0,-0.433633
610.281118,-5.980000,-6.048638,-9.141204,-8.018271,0.072922,7.084567,0,226,0,-0.068638
610.487344,-5.950000,-6.795835,-6.159503,-6.357170,-0.030303,11.531372,0,41,0,-0.845836
610.684631,-5.920000,-7.542797,-4.260679,-5.537951,0.228580,23.459019,0,92,0,-1.622797
610.881292,-5.910000,-7.364998,-8.301178,-6.863479,-0.104719,14.484698,0,55,0,-1.454998
611.081525,-5.850000,-6.217769,-8.129554,-8.802164,-0.043604,18.825090,0,38,0,-0.367769
611.284180,-5.900000,-6.222229,-10.417533,-11.519279,-0.172546,13.349000,0,19,0,-0.322229
611.480385,-5.940000,-7.010499,-12.744737,-12.233072,0.078876,15.956582,0,51,0,-1.070499
611.681282,-5.990000,-6.483998,-14.206622,-14.942526,-0.115292,5.400771,0,21,0,-0.493998
611.880399,-6.030000,-6.589551,-12.913096,-12.185396,-0.103898,16.038628,0,24,0,-0.559551
612.081242,-5.930000,-6.998103,-10.405328,-11.067181,-0.060524,13.037385,0,118,0,-1.068103
612.281250,-5.830000,-6.757163,-10.821181,-11.206735,0.212796,3.403450,0,93,0,-0.927163
612.482479,-5.840000,-6.856116,-11.083864,-11.847739,-0.119531,14.347045,0,42,0,-1.016116
612.686506,-5.870000,-6.602215,-12.300853,-13.060669,-0.148376,5.117247,0,109,0,-0.732215
612.881319,-5.850000,-6.047976,-10.829230,-10.587088,0.038153,10.026409,1,14,1,-0.197977
613.082765,-5.840000,-6.015860,-11.070529,-10.828254,-0.042939,7.201142,0,158,0,-0.175860
613.283478,-5.810000,-6.236603,-9.416104,-10.710435,-0.205216,17.604467,0,32,0,-0.426603
613.481128,-5.780000,-4.769274,-9.485140,-10.794381,0.008622,16.091244,0,129,0,1.010726
613.682546,-5.800000,-4.259028,-8.045373,-9.039597,-0.156151,18.363565,0,79,0,1.540972
613.880420,-5.790000,-3.893885,-6.283505,-7.697834,-0.226149,5.586066,0,64,0,1.896115
614.082208,-5.830000,-4.435852,-15.487943,-14.909642,0.091406,7.352507,0,21,0,1.394148
614.282833,-5.840000,-3.605542,-14.128734,-13.317519,0.126452,6.758245,0,133,0,2.234458
614.494784,-5.810000,-5.623189,-10.872283,-11.633712,-0.117692,5.041668,0,117,0,0.186811
614.682482,-5.870000,-4.134085,-10.872283,-11.633712,-0.001185,13.802410,0,310,0,1.735915
614.885481,-5.830000,-4.787425,-8.159947,-9.268869,-0.093220,11.663698,0,37,0,1.042575
615.080486,-5.780000,-3.983722,-10.922107,-8.722690,-0.154409,11.668548,0,66,0,1.796278
615.281493,-5.730000,-4.352325,-6.853916,-7.890454,0.059289,6.534911,0,129,0,1.377675
615.483155,-5.700000,-3.307949,-11.283154,-10.301482,0.151502,9.835669,1,0,1,2.392051
615.680503,-5.690000,-2.887719,-9.383806,-10.377155,0.030179,9.551771,1,13,1,2.802281
615.885620,-5.720000,-2.945911,-10.869188,-10.679293,0.080022,4.458767,0,177,0,2.774088
616.080391,-5.830000,-2.818970,-5.911778,-4.122738,0.282719,10.126740,1,0,1,3.011030
616.280738,-5.860000,-2.990047,-5.911778,-4.122738,0.074491,13.053467,0,198,0,2.869954
616.480486,-5.900000,-3.179015,-8.121245,-8.683711,-0.085675,10.043799,1,0,1,2.720985
616.680497,-5.940000,-2.596099,-9.129981,-7.847601,0.012769,18.666872,0,37,0,3.343901
616.886508,-5.950000,-3.281833,-2.763726,-3.908440,-0.169341,11.207641,1,0,1,2.668166
617.081508,-5.940000,-2.976081,-8.189437,-6.088015,-0.282822,6.620598,0,19,0,2.963919
617.280595,-6.030000,-2.887205,-8.189437,-6.088015,0.087770,5.298236,0,226,0,3.142795
617.485477,-6.080000,-3.523994,-7.594677,-7.048645,0.087770,10.177662,1,7,1,2.556006
617.686646,-6.180000,-3.604029,-6.127010,-6.721691,0.410374,7.928620,0,26,0,2.575971
617.887511,-6.390000,-5.222929,-8.014161,-5.494315,-0.182629,7.370560,0,32,0,1.167071
618.080380,-6.450000,-5.362069,-11.761874,-9.983857,0.289286,12.646065,0,38,0,1.087931
618.285488,-6.400000,-5.018277,-8.341845,-7.591308,0.121415,1.539656,0,20,0,1.381723
618.481165,-6.300000,-3.843663,-4.175687,-5.887190,-0.278115,14.324071,0,58,0,2.456337
618.681069,-6.210000,-4.308228,-7.426804,-6.150826,-0.038737,9.108044,1,11,1,1.901772
618.880390,-6.090000,-3.213993,-10.087170,-10.323255,0.286646,14.446887,0,41,0,2.876007
619.081256,-5.990000,-3.030516,-7.950376,-9.015132,-0.179717,11.225256,1,0,1,2.959484
619.281159,-6.020000,-3.521107,-10.476055,-10.156062,0.055213,14.578820,0,34,0,2.498893
619.488513,-6.010000,-2.895746,-15.800454,-16.100328,-0.052052,10.819569,1,16,1,3.114254
619.686515,-5.960000,-2.749863,-14.721812,-13.698244,0.176327,9.598907,1,11,1,3.210137
619.880467,-5.990000,-3.196789,-11.784840,-12.661324,-0.081385,5.443278,0,101,0,2.793211
620.080736,-6.270000,-3.681398,-13.406219,-11.485431,0.308599,7.609550,0,76,0,2.588602
620.283480,-6.650000,-3.444770,-8.219927,-10.181176,-0.329869,15.155171,0,20,0,3.205230
620.480388,-7.060000,-3.678941,-8.219927,-10.181176,0.091046,8.226798,0,222,0,3.381059
620.680399,-7.450000,-3.766174,-7.650179,-7.096268,0.092293,10.677725,1,0,1,3.683826
